"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"RELIANCE","EQ","26-Mar-2024","2,910.05","2,890.00","2,904.80","2,878.00","2,886.70","2,883.15","2,887.28","57,07,953","16,48,04,30,505.15","1,74,805","38,26,158","67.03"
"RELIANCE","EQ","27-Mar-2024","2,883.15","2,896.00","3,000.00","2,894.00","2,983.75","2,985.70","2,972.19","81,63,322","24,26,29,83,466.45","2,99,800","43,60,696","53.42"
"RELIANCE","EQ","28-Mar-2024","2,985.70","2,985.75","3,011.90","2,957.30","2,970.30","2,971.70","2,988.81","1,09,27,182","32,65,92,43,942.20","2,89,271","53,03,114","48.53"
"RELIANCE","EQ","01-Apr-2024","2,971.70","2,984.95","2,987.95","2,965.00","2,974.80","2,969.55","2,973.78","25,06,940","7,45,50,79,986.05","1,28,873","16,19,370","64.60"
"RELIANCE","EQ","02-Apr-2024","2,969.55","2,968.00","2,988.00","2,950.00","2,977.00","2,973.90","2,964.64","44,55,083","13,20,77,26,108.30","1,44,866","28,67,632","64.37"
"RELIANCE","EQ","03-Apr-2024","2,973.90","2,964.15","2,968.90","2,937.80","2,944.95","2,943.20","2,950.91","35,04,146","10,34,04,31,852.20","1,52,022","21,51,384","61.40"
"RELIANCE","EQ","04-Apr-2024","2,943.20","2,959.50","2,959.50","2,900.00","2,931.00","2,925.85","2,924.41","72,45,136","21,18,77,69,929.50","3,05,593","21,79,244","30.08"
"RELIANCE","EQ","05-Apr-2024","2,925.85","2,921.75","2,941.60","2,912.00","2,925.95","2,920.20","2,924.97","37,21,149","10,88,42,50,027.90","1,38,742","18,92,949","50.87"
"RELIANCE","EQ","08-Apr-2024","2,920.20","2,925.95","2,981.95","2,922.00","2,970.00","2,971.95","2,967.76","41,78,559","12,40,09,63,621.65","1,44,054","22,78,607","54.53"
"RELIANCE","EQ","09-Apr-2024","2,971.95","2,978.00","2,979.60","2,925.00","2,931.90","2,927.30","2,942.09","35,35,707","10,40,23,78,582.00","1,66,238","23,46,545","66.37"
"RELIANCE","EQ","10-Apr-2024","2,927.30","2,932.70","2,974.00","2,932.70","2,955.00","2,959.15","2,956.51","45,69,165","13,50,87,81,489.15","2,47,782","26,35,664","57.68"
"RELIANCE","EQ","12-Apr-2024","2,959.15","2,951.75","2,972.95","2,926.15","2,937.15","2,934.30","2,950.89","77,75,506","22,94,46,47,360.80","3,18,190","38,29,205","49.25"
"RELIANCE","EQ","15-Apr-2024","2,934.30","2,922.00","2,964.25","2,892.65","2,931.00","2,929.65","2,937.49","64,51,031","18,94,98,08,687.30","2,78,625","37,81,784","58.62"
"RELIANCE","EQ","16-Apr-2024","2,929.65","2,906.70","2,942.35","2,901.85","2,936.50","2,931.50","2,922.76","46,83,092","13,68,75,64,159.45","2,02,013","29,26,710","62.50"
"RELIANCE","EQ","18-Apr-2024","2,931.50","2,927.00","2,972.00","2,918.70","2,925.00","2,928.65","2,940.33","95,02,846","27,94,15,31,144.35","2,92,105","49,22,394","51.80"
"RELIANCE","EQ","19-Apr-2024","2,928.65","2,913.55","2,948.00","2,886.05","2,943.05","2,940.25","2,922.72","78,70,889","23,00,43,85,019.15","2,57,506","39,77,520","50.53"
"RELIANCE","EQ","22-Apr-2024","2,940.25","2,944.90","2,965.65","2,935.60","2,962.90","2,959.70","2,950.88","51,75,181","15,27,13,48,793.50","1,63,758","31,78,709","61.42"
"RELIANCE","EQ","23-Apr-2024","2,959.70","2,958.00","2,987.00","2,911.10","2,919.50","2,918.65","2,944.51","73,02,777","21,50,31,28,837.35","3,39,439","37,61,791","51.51"
"RELIANCE","EQ","24-Apr-2024","2,918.65","2,927.00","2,937.10","2,899.00","2,901.45","2,900.35","2,917.88","52,31,388","15,26,45,81,699.05","1,86,848","34,66,158","66.26"
"RELIANCE","EQ","25-Apr-2024","2,900.35","2,885.00","2,935.95","2,883.00","2,917.70","2,919.95","2,914.62","79,71,963","23,23,52,72,655.30","2,36,911","36,42,640","45.69"
"RELIANCE","EQ","26-Apr-2024","2,919.95","2,927.90","2,930.00","2,900.00","2,908.50","2,905.10","2,911.85","47,06,924","13,70,58,73,642.80","2,08,164","22,04,091","46.83"
"RELIANCE","EQ","29-Apr-2024","2,905.10","2,900.00","2,935.80","2,900.00","2,927.50","2,930.05","2,926.58","36,23,987","10,60,58,75,230.60","1,58,806","21,66,495","59.78"
"RELIANCE","EQ","30-Apr-2024","2,930.05","2,936.00","2,966.15","2,925.75","2,932.00","2,934.00","2,947.60","57,37,131","16,91,07,77,825.20","2,10,901","39,80,936","69.39"
"RELIANCE","EQ","02-May-2024","2,934.00","2,944.00","2,954.65","2,928.25","2,938.10","2,933.10","2,941.23","72,56,323","21,34,25,18,418.90","3,06,721","32,87,714","45.31"
"RELIANCE","EQ","03-May-2024","2,933.10","2,942.00","2,949.90","2,832.30","2,871.00","2,868.00","2,876.27","86,13,479","24,77,47,10,139.90","3,58,280","40,48,315","47.00"
"RELIANCE","EQ","06-May-2024","2,868.00","2,871.00","2,880.00","2,836.00","2,843.40","2,839.05","2,851.80","36,97,104","10,54,34,11,394.40","1,68,077","24,53,033","66.35"
"RELIANCE","EQ","07-May-2024","2,839.05","2,831.95","2,841.50","2,784.00","2,808.00","2,802.95","2,804.43","72,58,736","20,35,65,96,310.45","3,08,242","53,07,006","73.11"
"RELIANCE","EQ","08-May-2024","2,802.95","2,795.00","2,865.90","2,795.00","2,834.25","2,837.10","2,834.70","47,19,501","13,37,83,80,314.55","1,91,054","23,97,954","50.81"
"RELIANCE","EQ","09-May-2024","2,837.10","2,826.00","2,847.50","2,780.00","2,785.00","2,788.25","2,800.69","55,04,806","15,41,72,56,016.70","2,80,459","28,11,418","51.07"
"RELIANCE","EQ","10-May-2024","2,788.25","2,793.50","2,820.00","2,776.15","2,808.00","2,814.85","2,800.80","52,52,548","14,71,13,41,390.80","2,38,752","25,92,880","49.36"
"RELIANCE","EQ","13-May-2024","2,814.85","2,799.80","2,813.95","2,768.00","2,805.00","2,805.40","2,795.26","42,28,310","11,81,92,08,707.95","2,00,542","27,54,958","65.16"
"RELIANCE","EQ","14-May-2024","2,805.40","2,801.95","2,854.15","2,800.05","2,839.00","2,840.15","2,834.55","35,94,150","10,18,77,93,904.10","2,48,782","21,58,301","60.05"
"RELIANCE","EQ","15-May-2024","2,840.15","2,841.00","2,859.95","2,826.05","2,831.70","2,832.55","2,841.94","25,23,267","7,17,09,75,946.20","1,47,326","13,09,376","51.89"
"RELIANCE","EQ","16-May-2024","2,832.55","2,837.10","2,855.00","2,796.05","2,851.00","2,850.70","2,830.30","73,55,887","20,81,93,70,913.85","3,59,411","33,56,155","45.63"
"RELIANCE","EQ","17-May-2024","2,850.70","2,846.10","2,874.40","2,826.50","2,870.10","2,871.40","2,859.68","54,58,238","15,60,87,99,277.70","2,00,677","28,81,542","52.79"
"RELIANCE","EQ","18-May-2024","2,871.40","2,875.00","2,879.00","2,865.40","2,869.50","2,869.65","2,871.38","2,13,020","61,16,60,842.00","9,456","90,530","42.50"
"RELIANCE","EQ","21-May-2024","2,869.65","2,851.20","2,883.65","2,851.20","2,867.95","2,872.25","2,867.19","55,88,064","16,02,20,37,765.60","3,03,596","39,14,279","70.05"
"RELIANCE","EQ","22-May-2024","2,872.25","2,872.55","2,937.55","2,872.55","2,921.00","2,921.30","2,918.56","51,40,802","15,00,37,55,079.70","2,41,909","24,63,482","47.92"
"RELIANCE","EQ","23-May-2024","2,921.30","2,917.10","2,984.45","2,910.00","2,969.00","2,972.10","2,956.98","73,04,130","21,59,81,31,626.70","2,54,418","38,47,085","52.67"
"RELIANCE","EQ","24-May-2024","2,972.10","2,967.25","2,977.00","2,952.20","2,959.00","2,960.50","2,962.79","35,47,388","10,51,01,70,789.40","1,42,807","19,90,641","56.12"
"RELIANCE","EQ","27-May-2024","2,960.50","2,960.45","2,969.80","2,923.10","2,934.90","2,932.50","2,944.31","33,14,505","9,75,89,27,330.85","1,42,936","20,38,448","61.50"
"RELIANCE","EQ","28-May-2024","2,932.50","2,936.00","2,957.00","2,905.50","2,911.00","2,912.40","2,930.70","39,10,081","11,45,92,72,719.50","1,77,899","25,73,753","65.82"
